"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","batch_size","class_weight","clf__C","clf__activation","clf__alpha","clf__batch_size","clf__class_weight","clf__colsample_bytree","clf__criterion","clf__hidden_layer_sizes","clf__learning_rate","clf__learning_rate_init","clf__max_depth","clf__max_features","clf__max_iter","clf__min_samples_leaf","clf__min_samples_split","clf__n_estimators","clf__penalty","clf__reg_alpha","clf__reg_lambda","clf__solver","clf__subsample","cv","dataset","dropout","epochs","hidden_layers","l2","lr","model","search_n_iter","val_accuracy","val_auc","val_f1","val_precision","val_recall"
"2025-08-13 00:44:48","11.6s","2ad99da1fa9343fe8fcdb99cdb01fb8e","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(128,)","0.001","0.001","mlp","","0.6278481012658228","0.751206209355989","0.6783369803063458","0.5363321799307958","0.9226190476190477"
"2025-08-13 00:31:46","12.0s","2a162c3d29994e11a9766c4dcf9ca2c9","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(64,)","1e-05","0.001","mlp","","0.6278481012658228","0.8165250681770506","0.6783369803063458","0.5363321799307958","0.9226190476190477"
"2025-08-13 01:08:10","12.5s","6913baefbdf449fd916a07c78cfe4684","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(128, 64)","0.001","0.0005","mlp","","0.6151898734177215","0.8254929725194042","0.6779661016949152","0.5263157894736842","0.9523809523809523"
"2025-08-13 01:41:01","28.8s","34271958956242d7859540a2e1825f10","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","40","(128, 64, 32)","0.001","0.0005","mlp","","0.6481012658227848","0.7450178309209147","0.6774941995359628","0.5551330798479087","0.8690476190476191"
"2025-08-13 01:43:12","14.0s","a9467c904e204412bf9fa0cd09266d81","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(128, 64, 32)","1e-05","0.001","mlp","","0.7189873417721518","0.7391703377386196","0.6763848396501457","0.6628571428571428","0.6904761904761905"
"2025-08-12 22:22:37","26.7s","a948b10f36a94b6fbbc1cbc37b59eaca","mlp__smote","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","smote","0.0","40","(64,)","1e-05","0.001","mlp","","0.8771448181194235","0.8936481786564158","0.6763110307414106","0.603225806451613","0.7695473251028807"
"2025-08-13 00:17:57","11.8s","aa5b15867eb245a1bd8e14f6ede21792","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(64,)","1e-05","0.001","mlp","","0.6556962025316456","0.7783459198657436","0.6761904761904762","0.5634920634920635","0.8452380952380952"
"2025-08-13 01:35:17","14.2s","6886e8f1c69c4c4ca25a71f79e6e96b2","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","40","(128, 64, 32)","1e-05","0.0005","mlp","","0.7113924050632912","0.777218376337319","0.6761363636363636","0.6467391304347826","0.7083333333333334"
"2025-08-13 00:20:19","11.8s","ef3d6c9103964528ac2eb0badf137d41","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(64,)","0.0001","0.001","mlp","","0.6354430379746835","0.8064033983637507","0.6756756756756757","0.5434782608695652","0.8928571428571429"
"2025-08-13 01:02:47","12.6s","564523a2267b4d7b83efa5b0038c85d6","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(128, 64)","1e-05","0.0005","mlp","","0.6329113924050633","0.8047776379274176","0.6756152125279642","0.5412186379928315","0.8988095238095238"
